Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Kris Dunn,30,LAC,PG,28,17,635,11.8,.524,.494,.057,3.3,14.1,8.7,16.8,3.7,1.1,14.0,14.1,0.2,1.2,1.4,.107,-2.8,3.3,0.5,0.4,
Andrew Wiggins,29,GSW,SF,22,22,627,18.7,.604,.413,.329,5.3,10.0,7.6,12.3,1.5,2.3,7.2,23.1,1.4,0.7,2.1,.162,3.4,-0.1,3.3,0.8,
Jimmy Butler,35,MIA,PF,20,20,627,24.5,.646,.127,.665,8.8,11.1,10.0,24.7,2.0,1.2,8.3,21.7,2.7,0.7,3.4,.260,5.1,0.9,6.0,1.2,
Scotty Pippen Jr.,24,MEM,PG,28,10,624,14.1,.546,.339,.242,2.8,13.0,8.1,29.9,2.1,1.5,17.7,20.3,0.6,1.0,1.5,.119,-1.3,1.1,-0.2,0.3,
Dalton Knecht,23,LAL,SF,27,12,624,12.4,.588,.603,.125,3.1,14.6,8.8,6.9,1.0,0.1,6.3,17.6,0.6,0.3,0.9,.070,-0.5,-2.0,-2.6,-0.1,
Alex Sarr,19,WAS,C,23,23,623,12.2,.473,.416,.208,8.0,16.8,12.4,11.4,1.2,6.3,11.4,20.5,-0.4,0.3,-0.1,-0.007,-2.9,-0.7,-3.6,-0.3,
Buddy Hield,32,GSW,SG,26,5,621,15.2,.613,.676,.091,2.4,12.6,7.4,8.6,1.9,1.2,10.0,22.2,0.6,0.7,1.4,.108,1.5,-0.2,1.3,0.5,
Nickeil Alexander-Walker,26,MIN,SG,26,2,618,13.8,.642,.544,.187,3.2,9.4,6.4,15.6,1.9,1.4,15.5,16.5,0.8,0.9,1.7,.130,-0.1,1.3,1.2,0.5,
Malik Monk,26,SAC,SG,21,8,616,17.1,.584,.511,.198,0.7,12.8,6.9,24.6,1.3,1.9,9.9,22.6,1.1,0.5,1.6,.128,2.1,-0.6,1.5,0.5,
Kevin Huerter,26,SAC,SG,24,15,614,11.1,.548,.675,.092,1.7,13.6,7.7,10.8,2.0,1.9,10.8,16.9,0.2,0.6,0.8,.061,-2.0,-0.1,-2.1,0.0,
Keldon Johnson,25,SAS,SF,24,0,613,14.4,.544,.375,.270,5.0,17.5,11.3,10.3,1.6,0.7,6.7,20.7,0.6,0.5,1.1,.088,-1.1,-1.0,-2.1,0.0,
Brandin Podziemski,21,GSW,SG,25,8,613,11.0,.479,.460,.149,4.3,15.4,9.7,19.4,1.6,1.1,11.9,16.5,0.2,0.8,0.9,.071,-2.4,0.6,-1.9,0.0,
Gary Trent Jr.,26,MIL,SG,24,7,611,8.7,.568,.676,.148,0.6,7.5,4.1,4.9,1.7,0.0,6.5,14.5,0.3,0.4,0.7,.052,-3.3,-0.7,-4.1,-0.3,
Jalen Duren,21,DET,C,25,25,608,17.4,.680,.000,.504,14.1,27.1,20.7,13.8,1.0,4.7,23.9,15.0,1.0,0.8,1.8,.145,-1.3,1.2,-0.1,0.3,
Jonathan Kuminga,22,GSW,PF,24,10,607,14.0,.509,.283,.321,4.8,13.3,8.9,12.2,1.8,2.2,9.6,27.2,-0.2,0.8,0.6,.047,-1.4,-0.6,-2.0,0.0,
Peyton Watson,22,DEN,SF,25,12,607,12.3,.594,.325,.331,4.9,9.9,7.5,6.3,1.6,3.2,9.5,14.5,0.7,0.5,1.2,.093,-1.4,-0.3,-1.7,0.1,
Bobby Portis,29,MIL,PF,25,1,599,17.5,.542,.284,.102,8.4,25.3,17.1,11.3,1.1,2.3,8.9,24.1,0.4,0.7,1.1,.090,0.5,-1.3,-0.8,0.2,
Brandon Ingram,27,NOP,SF,18,18,595,16.8,.560,.345,.165,2.9,16.0,9.1,28.2,1.3,1.7,16.2,30.2,0.0,0.1,0.1,.011,1.6,-2.1,-0.4,0.2,
Onyeka Okongwu,24,ATL,C,25,0,594,17.5,.608,.202,.335,11.1,18.8,14.8,8.4,1.3,2.8,8.3,17.3,1.3,0.5,1.8,.148,0.1,-0.5,-0.4,0.2,
Tristan Da Silva,23,ORL,SF,25,18,593,9.3,.517,.489,.132,4.9,12.9,8.7,9.0,0.8,0.7,9.0,15.5,0.2,0.7,0.9,.072,-2.3,-0.4,-2.7,-0.1,
Jared McCain,20,PHI,SG,23,8,592,15.8,.589,.485,.204,2.4,8.9,5.5,17.8,1.3,0.0,11.0,24.9,0.8,0.3,1.1,.091,2.0,-1.4,0.6,0.4,
Javonte Green,31,NOP,SG,26,12,591,10.6,.541,.431,.331,4.3,11.8,7.9,4.7,2.2,2.9,9.2,11.7,0.3,0.2,0.6,.045,-2.8,-0.2,-2.9,-0.1,
Walker Kessler,23,UTA,C,20,20,587,20.8,.717,.015,.366,15.3,24.8,20.2,8.1,0.7,9.1,16.0,13.0,1.4,0.4,1.9,.154,1.4,0.8,2.2,0.6,
Guerschon Yabusele,29,PHI,PF,25,10,584,13.7,.589,.526,.263,8.0,19.0,13.2,12.3,1.3,1.8,14.5,17.1,0.6,0.6,1.2,.098,-0.5,-0.4,-0.9,0.2,
Shaedon Sharpe,21,POR,SG,19,17,582,13.6,.538,.438,.272,2.7,10.4,6.4,13.6,1.2,0.6,10.0,24.2,0.4,0.1,0.4,.037,-0.5,-2.5,-3.0,-0.1,
Caleb Martin,29,PHI,SF,20,15,582,9.2,.501,.345,.392,5.1,13.7,9.1,11.4,1.6,1.6,17.2,15.8,-0.3,0.5,0.3,.022,-3.1,-0.4,-3.4,-0.2,
Isaiah Stewart,23,DET,C,27,3,579,14.4,.621,.181,.284,11.6,19.0,15.3,11.1,1.1,5.6,18.2,11.8,0.9,0.7,1.6,.134,-1.8,1.6,-0.3,0.2,
Georges Niang,31,CLE,PF,28,1,578,11.5,.604,.646,.072,4.1,16.9,10.7,7.9,0.8,0.8,12.2,17.1,0.5,0.6,1.1,.092,-1.3,-0.8,-2.1,0.0,
Kevin Durant,36,PHO,PF,16,16,572,21.1,.634,.337,.326,0.6,19.9,10.4,18.8,0.9,3.3,13.1,29.6,0.8,0.4,1.3,.106,3.1,-0.5,2.6,0.7,
Haywood Highsmith,28,MIA,SF,23,17,570,10.5,.605,.577,.154,3.2,10.3,6.8,6.1,2.3,2.9,12.1,11.4,0.4,0.7,1.1,.092,-2.4,1.1,-1.3,0.1,
Cam Thomas,23,BRK,SG,17,17,568,17.9,.606,.424,.377,1.2,10.6,5.8,18.1,1.0,0.2,12.2,30.9,0.7,0.1,0.8,.072,2.3,-2.2,0.1,0.3,
Goga Bitadze,25,ORL,C,24,21,568,19.8,.664,.083,.310,13.5,25.4,19.2,13.0,1.6,6.5,17.5,15.2,1.2,1.2,2.5,.207,-0.1,2.6,2.5,0.6,
Moritz Wagner,27,ORL,C,29,1,563,22.5,.649,.301,.442,7.9,23.3,15.3,13.5,2.1,2.1,13.9,26.6,1.2,1.1,2.3,.193,2.9,1.4,4.3,0.9,
Desmond Bane,26,MEM,SG,20,19,561,14.5,.553,.449,.173,3.3,17.9,10.9,21.7,1.6,1.7,14.4,21.8,0.5,0.9,1.4,.117,-0.2,0.9,0.7,0.4,
Mike Conley,37,MIN,PG,22,22,559,12.7,.515,.693,.199,2.5,10.4,6.5,25.4,2.8,1.0,14.3,16.5,0.5,0.9,1.4,.117,-1.4,1.8,0.5,0.3,
Miles McBride,24,NYK,PG,22,0,558,14.0,.598,.600,.141,3.0,8.6,6.0,15.7,1.7,0.9,10.1,17.3,0.9,0.4,1.4,.116,1.0,-0.3,0.7,0.4,
Al Horford,38,BOS,C,20,18,554,12.9,.616,.730,.043,3.7,17.2,10.4,11.2,1.2,3.0,11.7,12.6,0.8,0.7,1.5,.130,0.5,1.3,1.8,0.5,
Dorian Finney-Smith,31,BRK,PF,19,19,552,13.1,.635,.684,.151,6.1,11.8,8.9,8.4,1.6,2.2,9.5,14.4,0.8,0.3,1.1,.099,0.8,-0.2,0.6,0.4,
Obi Toppin,26,IND,PF,27,0,551,19.1,.660,.485,.160,4.2,19.0,11.7,13.2,1.8,1.9,7.5,18.8,1.4,0.5,1.8,.158,2.7,-0.1,2.7,0.6,
Duncan Robinson,30,MIA,SF,24,13,551,12.2,.559,.685,.086,1.6,9.1,5.3,16.0,1.1,0.5,8.4,20.8,0.4,0.4,0.9,.074,-0.4,-1.3,-1.7,0.0,
Spencer Dinwiddie,31,DAL,PG,25,1,551,12.8,.568,.587,.400,1.0,7.9,4.6,18.6,1.7,1.1,10.3,15.6,1.0,0.4,1.4,.119,-0.2,0.1,-0.1,0.3,
Deandre Ayton,26,POR,C,18,18,548,16.9,.568,.088,.106,9.9,27.2,18.2,7.6,1.4,2.9,12.4,19.6,0.4,0.5,0.9,.079,-0.9,-1.3,-2.2,0.0,
Tari Eason,23,HOU,PF,24,0,546,20.0,.557,.330,.222,9.7,19.4,14.5,6.9,4.1,3.9,7.6,19.9,0.9,1.5,2.4,.207,1.5,3.9,5.4,1.0,
Keon Ellis,25,SAC,SG,26,4,545,12.7,.650,.716,.276,4.4,8.0,6.2,6.8,2.8,4.2,13.3,11.9,0.7,0.7,1.4,.121,-0.2,1.5,1.3,0.5,
Corey Kispert,25,WAS,SF,20,0,544,9.3,.543,.609,.125,1.3,11.9,6.6,8.1,1.0,0.7,10.2,17.2,0.0,0.0,-0.1,-0.006,-2.7,-2.5,-5.2,-0.4,
Aaron Wiggins,26,OKC,SG,27,8,542,13.8,.556,.468,.094,4.7,12.8,8.8,9.7,2.1,1.5,9.0,18.3,0.4,1.0,1.4,.128,-0.1,0.4,0.3,0.3,
Max Christie,21,LAL,SG,26,5,536,10.4,.571,.475,.458,4.4,8.4,6.4,8.0,1.9,1.7,12.4,13.1,0.4,0.3,0.8,.068,-2.5,0.0,-2.5,-0.1,
Naji Marshall,27,DAL,SF,22,7,535,15.7,.615,.304,.196,5.0,10.1,7.7,13.5,1.9,0.3,13.2,19.2,0.9,0.4,1.3,.117,0.5,-0.2,0.4,0.3,
T.J. McConnell,32,IND,PG,27,0,534,20.5,.588,.057,.135,3.5,11.1,7.3,34.5,3.1,1.4,14.3,24.5,0.8,0.5,1.3,.118,1.2,0.3,1.5,0.5,
Bradley Beal,31,PHO,SG,16,16,533,14.7,.603,.417,.194,2.3,11.1,6.8,14.6,1.6,2.1,13.6,22.5,0.4,0.3,0.7,.060,-0.6,-0.9,-1.5,0.1,
Daniel Gafford,26,DAL,C,26,12,531,25.5,.727,.000,.393,15.0,18.7,16.9,9.5,1.2,5.1,10.8,19.2,2.2,0.7,2.9,.259,3.5,0.4,4.0,0.8,
Grayson Allen,29,PHO,SG,22,1,531,13.3,.586,.725,.264,3.2,11.5,7.4,10.9,1.8,1.2,10.2,18.8,0.6,0.3,0.9,.077,0.2,-1.2,-1.0,0.1,
Caris LeVert,30,CLE,SF,22,0,530,18.7,.658,.480,.343,2.4,10.5,6.6,23.0,1.9,1.9,13.0,18.8,1.5,0.7,2.1,.192,3.1,1.1,4.2,0.8,
Dereck Lively II,20,DAL,C,22,15,529,19.7,.700,.000,.518,13.8,20.4,17.2,13.4,1.1,6.1,16.7,13.4,1.5,0.8,2.3,.208,1.4,2.1,3.5,0.7,
Isaiah Joe,25,OKC,SG,25,9,525,11.8,.561,.784,.070,2.4,11.0,6.7,9.7,1.5,1.2,5.9,16.5,0.5,0.9,1.4,.127,-0.3,0.1,-0.3,0.2,
A.J. Green,25,MIL,SG,25,4,523,10.6,.680,.907,.043,0.9,9.7,5.5,7.1,1.2,0.5,10.6,13.5,0.7,0.3,1.0,.089,-0.7,-0.7,-1.4,0.1,
Julian Strawther,22,DEN,SG,25,0,516,11.6,.603,.503,.251,1.5,9.2,5.5,8.9,1.7,1.7,10.4,17.2,0.5,0.3,0.9,.080,-1.7,-0.6,-2.3,0.0,
Nic Claxton,25,BRK,C,21,13,516,17.4,.615,.028,.301,9.3,27.3,18.1,14.0,1.4,4.9,12.9,16.0,0.8,0.6,1.4,.130,0.1,1.5,1.6,0.5,
Quentin Grimes,24,DAL,SG,25,9,515,12.8,.612,.581,.281,3.1,15.1,9.3,9.5,1.8,0.9,14.3,17.2,0.5,0.5,1.0,.097,-0.5,-0.2,-0.7,0.2,
Gabe Vincent,28,LAL,PG,27,4,515,5.1,.465,.619,.068,2.2,5.4,3.8,6.4,2.2,0.9,11.0,11.5,-0.3,0.3,-0.1,-0.005,-5.9,-0.1,-6.0,-0.5,
Kyshawn George,21,WAS,SG,20,6,514,7.0,.442,.654,.183,2.8,13.6,8.2,13.5,1.2,2.5,11.3,15.0,-0.4,0.1,-0.3,-0.028,-4.6,-1.3,-5.9,-0.5,
Scoot Henderson,20,POR,PG,20,3,513,9.7,.484,.337,.281,2.8,9.1,5.8,29.0,1.7,0.7,20.3,22.4,-0.5,0.1,-0.3,-0.030,-3.6,-2.0,-5.6,-0.5,
Trey Murphy III,24,NOP,SF,15,13,511,15.0,.572,.552,.253,2.4,12.1,7.0,10.9,1.6,1.8,9.2,22.3,0.6,0.1,0.7,.062,0.8,-1.3,-0.6,0.2,
Nicolas Batum,36,LAC,PF,28,1,511,8.5,.535,.802,.110,4.4,12.4,8.4,10.4,1.2,2.4,12.0,9.2,0.4,0.6,1.0,.094,-1.8,1.1,-0.8,0.2,
Ben Simmons,28,BRK,PG,21,15,510,12.9,.598,.000,.140,4.3,23.0,13.5,39.3,1.7,2.4,36.6,13.6,0.3,0.4,0.8,.072,-1.6,2.0,0.4,0.3,
Jeremiah Robinson-Earl,24,NOP,PF,26,4,509,13.3,.541,.425,.170,10.7,16.7,13.5,8.6,1.8,0.6,11.8,15.4,0.5,0.1,0.6,.058,-1.1,-1.9,-3.0,-0.1,
Brandon Clarke,28,MEM,PF,27,17,505,16.1,.619,.103,.142,9.9,18.7,14.5,7.4,1.9,2.2,7.8,14.1,1.0,0.9,1.9,.179,-0.8,1.3,0.5,0.3,
CJ McCollum,33,NOP,PG,15,15,504,15.4,.524,.439,.150,2.2,10.5,6.1,20.1,1.7,1.1,8.0,27.1,0.2,0.1,0.3,.028,0.5,-2.1,-1.6,0.0,
Scottie Barnes,23,TOR,PF,15,15,501,19.5,.556,.373,.307,6.2,20.3,13.2,34.1,1.7,2.3,16.2,27.1,0.6,0.5,1.0,.097,4.0,0.7,4.7,0.8,
Kevin Porter Jr.,24,LAC,SG,25,1,499,11.0,.467,.277,.200,3.8,16.8,10.3,23.2,2.5,1.4,17.7,26.9,-1.0,0.8,-0.2,-0.015,-4.0,0.2,-3.8,-0.2,
Jarace Walker,21,IND,PF,28,1,498,9.7,.547,.559,.244,2.8,19.8,11.5,11.0,2.9,1.7,21.7,15.7,-0.4,0.6,0.2,.016,-3.2,0.6,-2.6,-0.1,
Jonathan Mogbo,23,TOR,PF,28,4,497,14.1,.531,.171,.333,12.4,16.2,14.3,13.8,2.3,2.3,14.9,14.5,0.5,0.5,1.0,.095,-1.2,0.7,-0.5,0.2,
Moussa DiabatÃ©,23,CHO,C,26,4,493,14.2,.576,.000,.309,19.1,23.4,21.2,5.1,1.7,4.5,23.7,8.7,0.5,0.6,1.1,.109,-2.6,-0.2,-2.8,-0.1,
Patrick Williams,23,CHI,PF,18,17,491,8.9,.504,.547,.182,3.9,13.7,8.9,9.9,1.5,1.7,15.3,17.2,-0.3,0.3,0.0,-0.002,-2.7,-0.9,-3.5,-0.2,
Jonas ValanÄiÅ«nas,32,WAS,C,25,6,489,22.0,.615,.061,.288,11.9,28.9,20.3,19.4,0.8,3.7,15.6,23.9,0.9,0.3,1.2,.120,2.1,-0.4,1.6,0.5,
Sam Merrill,28,CLE,SG,24,1,484,9.6,.541,.873,.107,1.9,8.4,5.3,10.7,1.4,1.0,7.1,15.1,0.4,0.5,0.9,.088,-1.6,0.0,-1.7,0.0,
Terance Mann,28,LAC,SG,23,11,484,10.9,.520,.367,.188,5.5,11.0,8.3,11.5,2.2,1.1,8.6,13.5,0.4,0.7,1.1,.105,-2.4,1.3,-1.1,0.1,
De'Andre Hunter,27,ATL,SF,17,2,483,17.2,.633,.457,.328,2.4,13.2,7.7,6.9,1.2,0.4,7.7,24.0,1.0,0.3,1.3,.128,1.9,-1.3,0.7,0.3,
Ty Jerome,27,CLE,SG,27,2,483,22.3,.666,.419,.227,3.8,9.1,6.5,27.4,3.5,0.2,13.5,22.5,1.6,0.7,2.3,.233,3.4,1.5,4.9,0.8,
Isaac Okoro,24,CLE,SG,23,16,483,12.5,.650,.570,.196,4.9,6.9,5.9,10.1,1.7,1.9,7.2,11.2,1.0,0.5,1.6,.154,0.2,0.9,1.1,0.4,
Paul George,34,PHI,PF,15,15,480,16.3,.533,.464,.204,2.5,18.7,10.1,27.9,3.0,1.7,15.1,24.8,0.1,0.7,0.8,.076,0.7,1.3,2.0,0.5,
Grant Williams,26,CHO,PF,16,7,479,11.9,.596,.602,.301,3.9,15.3,9.4,11.3,1.9,2.8,16.7,14.8,0.4,0.4,0.8,.081,-2.0,0.4,-1.7,0.0,
Ja Morant,25,MEM,PG,17,17,475,21.1,.563,.298,.408,3.0,13.7,8.6,42.4,1.9,1.4,16.4,32.3,0.9,0.7,1.6,.161,4.0,0.2,4.2,0.8,
Jusuf NurkiÄ,30,PHO,C,19,19,475,12.3,.548,.370,.444,8.6,35.4,22.2,7.5,1.9,2.8,22.2,19.3,-0.3,0.7,0.3,.033,-4.2,-0.1,-4.2,-0.3,
Simone Fontecchio,29,DET,SF,26,0,475,9.1,.558,.662,.286,3.3,14.0,8.7,6.6,0.8,1.0,12.3,15.4,0.2,0.3,0.5,.050,-2.3,-1.0,-3.3,-0.2,
Sam Hauser,27,BOS,PF,21,2,471,13.2,.596,.834,.013,4.1,13.0,8.5,6.5,1.9,0.9,5.0,14.6,0.7,0.6,1.2,.127,0.8,0.1,0.9,0.3,
Ziaire Williams,23,BRK,SF,21,7,459,11.0,.507,.415,.277,5.6,18.7,12.0,8.0,2.2,1.6,9.6,19.1,0.0,0.4,0.3,.036,-3.6,-0.3,-3.9,-0.2,
Tidjane SalaÃ¼n,19,CHO,PF,24,8,457,7.7,.448,.667,.179,5.7,19.0,12.1,8.3,1.5,0.9,12.5,14.0,-0.2,0.3,0.1,.015,-4.0,-0.5,-4.5,-0.3,
Ron Holland,19,DET,SF,28,1,453,9.8,.543,.385,.230,3.9,16.9,10.5,6.1,1.4,1.1,14.2,17.9,-0.1,0.4,0.3,.031,-4.1,-0.6,-4.7,-0.3,
Chris Boucher,32,TOR,PF,25,0,452,16.6,.551,.480,.286,8.3,19.8,14.0,5.0,1.4,4.1,6.8,21.8,0.5,0.4,1.0,.102,1.1,-1.0,0.1,0.2,
Jaime Jaquez Jr.,23,MIA,SF,21,1,451,12.2,.493,.261,.309,6.5,18.1,12.3,15.3,2.3,0.4,14.2,21.1,-0.2,0.6,0.4,.047,-3.4,0.2,-3.1,-0.1,
Andre Jackson Jr.,23,MIL,SG,25,17,448,5.4,.481,.523,.091,5.1,13.2,9.3,10.1,2.1,1.5,26.5,12.3,-0.5,0.5,0.0,-0.004,-6.1,0.3,-5.9,-0.4,
Miles Bridges,26,CHO,PF,15,15,445,15.4,.529,.448,.233,3.3,22.6,12.5,16.9,0.9,1.8,9.7,24.4,0.3,0.3,0.7,.074,0.5,-1.3,-0.8,0.1,
Andre Drummond,31,PHI,C,22,13,441,15.4,.537,.070,.419,15.9,32.9,23.9,3.9,3.4,2.1,20.3,19.1,-0.1,0.9,0.7,.078,-3.2,-0.1,-3.3,-0.2,
Dean Wade,28,CLE,PF,20,11,439,11.0,.512,.853,.206,4.4,19.6,12.2,7.3,2.3,1.7,4.3,11.4,0.3,0.7,1.1,.115,-0.6,1.6,0.9,0.3,
KJ Martin,24,PHI,PF,22,5,433,13.5,.717,.195,.333,4.8,11.4,7.9,6.0,1.2,3.8,9.1,11.1,0.9,0.4,1.3,.147,-1.4,0.5,-0.9,0.1,
Keon Johnson,22,BRK,SG,25,6,428,5.8,.451,.625,.079,3.5,16.3,9.8,9.3,1.5,1.9,13.7,18.9,-0.7,0.3,-0.5,-0.051,-5.5,-1.1,-6.6,-0.5,
Mason Plumlee,34,PHO,C,25,7,423,13.2,.571,.000,.600,10.2,28.4,19.4,12.5,1.0,4.4,19.9,11.5,0.4,0.5,0.9,.105,-2.4,0.8,-1.6,0.0,
Trayce Jackson-Davis,24,GSW,C,25,18,422,18.7,.615,.008,.288,10.0,19.8,14.8,17.6,0.8,3.8,11.3,16.5,1.0,0.6,1.5,.174,0.9,1.2,2.1,0.4,
Wendell Carter Jr.,25,ORL,C,16,16,419,14.2,.575,.402,.573,8.3,27.8,17.6,12.8,1.7,2.1,11.2,12.0,0.7,0.8,1.5,.171,-1.6,2.1,0.5,0.3,
Ajay Mitchell,22,OKC,SG,27,0,415,10.8,.565,.277,.160,2.8,7.8,5.3,14.4,2.4,0.5,15.3,15.5,0.2,0.7,0.9,.108,-3.7,1.1,-2.6,-0.1,
Aaron Gordon,29,DEN,PF,14,13,412,16.4,.643,.326,.426,7.2,15.1,11.3,14.9,0.7,0.7,12.1,17.8,1.0,0.2,1.2,.140,2.2,-1.2,1.1,0.3,
Jay Huff,26,MEM,C,27,1,410,18.8,.667,.641,.246,4.5,14.2,9.5,7.3,0.9,7.3,8.4,19.7,1.0,0.7,1.7,.196,2.6,1.3,4.0,0.6,
Jeremy Sochan,21,SAS,PF,14,11,409,18.3,.576,.145,.346,11.2,19.9,15.6,15.2,1.9,2.2,12.8,22.0,0.6,0.5,1.0,.120,0.7,0.4,1.1,0.3,
Jordan Clarkson,32,UTA,SG,16,2,405,13.8,.522,.461,.272,2.8,11.6,7.3,24.9,1.7,0.7,14.5,28.0,0.0,0.0,0.0,.002,-0.5,-2.5,-3.0,-0.1,
Dalano Banton,25,POR,PG,24,0,400,15.9,.527,.427,.271,2.3,13.1,7.5,25.8,2.7,3.1,15.2,27.3,-0.1,0.3,0.3,.031,1.4,0.0,1.4,0.3,
Lindy Waters III,27,GSW,SG,22,8,394,9.8,.515,.707,.041,2.8,12.6,7.6,10.3,1.8,1.2,6.0,14.0,0.2,0.5,0.7,.085,-2.8,0.6,-2.2,0.0,
Kevon Looney,28,GSW,C,24,5,394,18.5,.516,.000,.375,20.9,26.4,23.6,15.1,2.4,1.5,11.0,14.4,0.8,0.7,1.6,.191,-0.1,0.6,0.5,0.2,
Shake Milton,28,BRK,SG,23,0,390,12.1,.567,.450,.200,4.2,8.8,6.4,18.4,1.3,0.3,10.3,16.6,0.5,0.1,0.6,.073,-0.8,-1.1,-1.9,0.0,
Cam Reddish,25,LAL,SF,20,8,388,8.0,.595,.547,.321,2.6,8.7,5.6,5.3,2.8,1.4,14.2,7.9,0.2,0.3,0.5,.062,-4.2,1.2,-2.9,-0.1,
Jonathan Isaac,27,ORL,PF,23,0,386,16.9,.543,.517,.246,11.0,21.1,15.8,1.9,2.6,8.3,7.1,15.8,0.4,1.0,1.3,.166,-0.7,2.1,1.3,0.3,
Neemias Queta,25,BOS,C,23,5,386,14.9,.656,.024,.286,10.6,19.8,15.2,6.1,0.9,5.1,15.2,12.4,0.7,0.6,1.3,.161,-2.1,1.1,-1.0,0.1,
Julian Phillips,21,CHI,SF,27,2,385,10.4,.560,.615,.239,6.1,9.2,7.7,4.0,2.2,1.6,9.1,14.3,0.2,0.3,0.5,.059,-2.2,-0.4,-2.6,-0.1,
Jalen Smith,24,CHI,C,25,1,384,18.0,.595,.558,.286,10.0,26.5,18.4,6.8,1.1,4.5,8.3,19.6,0.7,0.4,1.1,.137,0.7,-0.9,-0.1,0.2,
Alex Caruso,30,OKC,SG,19,0,383,12.4,.478,.578,.083,3.1,12.3,7.7,15.1,4.5,3.2,11.7,14.3,0.0,1.0,1.0,.126,-2.8,4.5,1.8,0.4,
Kyle Lowry,38,PHI,PG,18,10,380,10.1,.550,.765,.338,2.0,9.1,5.3,18.0,2.5,1.6,14.3,10.5,0.4,0.4,0.7,.094,-2.7,1.8,-0.9,0.1,
Ryan Dunn,22,PHO,SF,22,9,378,9.0,.522,.631,.098,3.9,11.8,7.9,6.1,1.4,3.0,8.6,16.3,0.0,0.2,0.2,.023,-3.4,-0.6,-4.1,-0.2,
Johnny Juzang,23,UTA,SG,22,0,377,9.8,.558,.724,.102,3.3,10.8,7.1,9.1,0.9,1.0,7.7,16.0,0.4,-0.1,0.3,.038,-1.8,-2.2,-4.1,-0.2,
Jamal Shead,22,TOR,PG,26,0,376,7.3,.480,.419,.097,1.4,6.2,3.8,27.5,1.7,0.5,20.8,18.1,-0.3,0.1,-0.1,-0.019,-4.7,-1.6,-6.3,-0.4,
Vasilije MiciÄ,31,CHO,PG,17,8,374,8.2,.456,.431,.109,4.2,10.1,7.0,26.1,1.2,0.0,19.1,20.1,-0.3,0.1,-0.2,-0.026,-3.5,-2.4,-6.0,-0.4,
Marcus Smart,30,MEM,PG,17,6,373,11.7,.512,.606,.255,4.1,7.5,5.9,22.2,2.7,1.5,18.2,20.0,0.1,0.6,0.6,.080,-1.5,0.7,-0.7,0.1,
Isaiah Hartenstein,26,OKC,C,12,11,368,19.2,.598,.036,.318,11.0,32.8,22.0,17.9,1.6,3.6,16.6,17.5,0.6,1.0,1.6,.212,0.2,2.8,3.0,0.5,
Andrew Nembhard,25,IND,SG,14,14,366,11.6,.553,.279,.298,1.0,9.3,5.2,24.1,1.7,0.0,16.4,16.7,0.3,0.1,0.4,.054,-2.3,-1.2,-3.5,-0.1,
Dejounte Murray,28,NOP,PG,11,11,361,12.6,.469,.339,.236,1.1,20.9,10.5,33.0,3.0,1.6,19.3,27.8,-0.7,0.3,-0.4,-0.050,-2.8,-0.5,-3.3,-0.1,
Cameron Payne,30,NYK,PG,21,0,360,16.0,.567,.609,.080,2.3,9.4,6.0,25.3,1.8,2.1,6.5,18.7,0.9,0.3,1.2,.158,1.4,0.4,1.9,0.4,
Moses Moody,22,GSW,SG,23,4,358,10.7,.557,.594,.254,2.8,9.8,6.2,8.0,0.8,1.6,10.5,19.9,0.1,0.3,0.4,.058,-1.7,-1.3,-3.0,-0.1,
Trey Lyles,29,SAC,PF,18,2,353,9.5,.504,.725,.154,4.9,17.6,11.3,6.1,1.4,3.1,9.3,13.1,0.1,0.4,0.4,.059,-1.8,-0.6,-2.4,0.0,
