Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Luke Kornet,29,BOS,C,21,3,347,18.7,.698,.000,.607,12.4,17.3,14.9,12.2,1.4,5.6,11.3,9.9,1.2,0.6,1.7,.239,1.2,2.4,3.7,0.5,
Matas Buzelis,20,CHI,SF,27,0,346,9.8,.498,.519,.202,4.3,17.7,11.1,5.3,1.1,4.9,10.8,19.0,-0.3,0.3,0.1,.008,-4.1,-1.1,-5.2,-0.3,
Kyle Anderson,31,GSW,PF,24,0,346,14.3,.493,.339,.174,3.2,18.1,10.4,22.0,2.5,3.3,8.8,16.3,0.3,0.6,0.9,.121,-0.6,2.6,2.0,0.4,
Jamison Battle,23,TOR,SF,25,0,344,13.2,.656,.750,.102,4.4,10.9,7.6,9.4,0.4,1.1,6.6,14.6,0.7,0.1,0.8,.113,1.8,-1.4,0.4,0.2,
Garrison Mathews,28,ATL,SG,19,1,343,12.4,.661,.838,.313,0.9,5.7,3.3,10.4,1.8,0.8,8.2,14.4,0.7,0.2,0.9,.119,-0.6,-0.6,-1.2,0.1,
Zach Collins,27,SAS,C,24,4,341,15.1,.588,.343,.305,8.9,16.3,12.7,18.0,1.6,3.1,15.0,17.5,0.5,0.3,0.9,.125,-1.1,1.2,0.0,0.2,
Gary Payton II,32,GSW,SG,26,4,341,15.0,.562,.307,.109,9.7,12.1,10.9,12.5,2.8,2.8,11.7,14.6,0.4,0.5,0.9,.134,-1.2,1.9,0.7,0.2,
Dalen Terry,22,CHI,SG,25,0,337,9.7,.614,.365,.378,5.1,5.9,5.5,8.6,2.0,1.8,19.6,13.3,0.2,0.2,0.4,.053,-3.3,-0.3,-3.5,-0.1,
Oso Ighodaro,22,PHO,PF,21,2,336,11.4,.639,.000,.217,7.8,17.9,12.9,7.8,1.3,1.7,15.4,10.2,0.4,0.2,0.7,.096,-2.5,0.0,-2.5,0.0,
Donovan Clingan,20,POR,C,20,7,335,17.9,.575,.140,.237,18.7,24.5,21.5,4.4,1.4,11.0,18.3,15.6,0.3,0.5,0.8,.114,-2.4,1.1,-1.3,0.1,
Brice Sensabaugh,21,UTA,SF,20,0,332,11.9,.614,.656,.123,4.5,11.6,8.1,11.3,1.7,0.3,19.4,20.2,0.1,0.0,0.1,.009,-0.2,-1.9,-2.1,0.0,
Bogdan BogdanoviÄ,32,ATL,SG,13,0,332,10.4,.554,.664,.148,2.8,11.4,7.0,11.6,1.7,1.2,13.9,19.3,0.0,0.2,0.3,.036,-2.4,-0.2,-2.7,-0.1,
Kyle Kuzma,29,WAS,PF,12,12,330,9.8,.487,.320,.177,2.5,18.7,10.6,11.6,0.7,0.8,12.9,28.1,-0.7,0.0,-0.7,-0.096,-3.6,-3.0,-6.6,-0.4,
Zach Edey,22,MEM,C,16,10,330,20.0,.661,.102,.305,18.1,18.2,18.2,6.7,1.8,4.8,16.8,19.5,0.7,0.6,1.3,.194,0.3,0.8,1.2,0.3,
Seth Curry,34,CHO,SG,26,5,330,11.2,.584,.546,.113,3.2,9.0,6.0,5.5,1.9,1.2,6.4,14.0,0.4,0.2,0.6,.086,-1.8,-0.1,-1.9,0.0,
Herbert Jones,26,NOP,SF,10,10,324,11.4,.562,.454,.247,3.5,9.5,6.4,10.5,2.7,1.2,14.3,16.3,0.1,0.1,0.2,.033,-2.9,-0.7,-3.5,-0.1,
Jaden Hardy,22,DAL,SG,22,2,320,7.7,.500,.444,.188,1.4,8.4,5.1,11.4,2.1,0.3,17.7,23.1,-0.5,0.3,-0.2,-0.032,-5.5,-1.4,-7.0,-0.4,
Noah Clowney,20,BRK,PF,18,1,320,10.1,.533,.686,.203,5.8,17.6,11.6,5.7,0.8,3.8,9.8,19.8,0.0,0.2,0.2,.028,-3.0,-1.2,-4.1,-0.2,
Tre Mann,23,CHO,PG,13,0,319,13.9,.537,.373,.130,3.9,9.3,6.5,21.2,1.1,1.3,12.8,25.9,0.1,0.1,0.3,.041,-0.3,-2.2,-2.4,0.0,
Jordan Hawkins,22,NOP,SG,12,3,319,9.8,.508,.519,.233,1.6,13.6,7.3,6.6,0.5,1.5,8.7,21.2,-0.1,0.0,-0.1,-0.014,-2.6,-3.8,-6.3,-0.4,
Luke Kennard,28,MEM,SG,16,0,319,13.6,.624,.708,.202,2.4,10.1,6.4,17.2,1.6,0.6,10.2,13.5,0.7,0.4,1.1,.161,1.0,0.8,1.9,0.3,
Nick Richards,27,CHO,C,13,9,318,19.2,.643,.012,.738,11.9,28.4,19.8,9.8,0.9,6.1,17.1,17.9,0.6,0.4,1.0,.150,-1.2,0.0,-1.2,0.1,
Jericho Sims,26,NYK,C,25,2,318,9.8,.665,.000,.212,12.5,20.6,16.7,5.7,0.9,2.7,29.4,7.1,0.3,0.3,0.7,.102,-3.0,0.0,-3.1,-0.1,
Devin Vassell,24,SAS,SG,12,1,309,16.7,.603,.468,.162,2.1,7.3,4.7,17.5,1.9,1.2,10.8,25.6,0.3,0.2,0.5,.084,1.0,-1.4,-0.4,0.1,
Kyle Filipowski,21,UTA,C,17,8,306,13.3,.592,.398,.410,5.9,21.1,13.7,15.1,1.3,0.6,14.0,15.7,0.4,0.1,0.4,.070,-1.0,-0.9,-1.9,0.0,
Eric Gordon,36,PHI,SG,18,1,306,7.4,.465,.576,.259,1.1,6.0,3.4,11.4,2.1,1.7,12.9,15.6,-0.2,0.3,0.0,.001,-3.8,-0.1,-4.0,-0.2,
Delon Wright,32,MIL,PG,19,2,305,7.8,.407,.596,.175,4.5,8.0,6.3,12.9,2.4,1.8,12.8,10.2,-0.1,0.3,0.2,.034,-3.7,0.8,-2.9,-0.1,
Isaiah Collier,20,UTA,PG,18,1,302,2.2,.354,.392,.243,0.4,10.5,5.5,25.7,2.6,0.9,32.8,17.0,-1.0,0.1,-1.0,-0.152,-8.7,-1.7,-10.4,-0.6,
Cody Williams,20,UTA,SG,16,7,299,2.9,.343,.552,.149,3.0,10.6,6.9,8.5,1.1,1.6,13.3,11.6,-0.4,0.0,-0.5,-0.077,-6.0,-1.3,-7.3,-0.4,
Nikola JoviÄ,21,MIA,PF,16,8,298,14.1,.575,.505,.303,2.9,17.9,10.4,9.5,2.3,0.7,8.2,17.9,0.3,0.4,0.7,.115,-1.1,0.8,-0.3,0.1,
Reed Sheppard,20,HOU,PG,25,0,297,8.4,.448,.559,.039,2.8,7.1,4.9,14.3,2.1,2.7,12.6,16.5,-0.2,0.5,0.3,.053,-3.5,1.4,-2.1,0.0,
Ben Sheppard,23,IND,SG,14,5,288,7.3,.550,.714,.000,2.4,9.9,6.2,7.6,1.0,1.6,6.7,11.3,0.2,0.1,0.2,.041,-3.0,-0.7,-3.7,-0.1,
Cole Anthony,24,ORL,PG,26,0,286,10.6,.489,.446,.264,3.1,18.7,10.6,27.9,1.7,1.4,19.2,25.3,-0.4,0.5,0.1,.019,-3.5,0.7,-2.8,-0.1,
Drew Eubanks,27,UTA,C,21,0,284,14.6,.596,.045,.403,9.6,23.2,16.5,13.0,0.9,4.6,16.9,14.0,0.3,0.1,0.5,.079,-1.4,0.2,-1.2,0.1,
Jose Alvarado,26,NOP,PG,11,7,282,14.3,.544,.594,.168,2.2,7.3,4.6,25.8,2.9,1.0,11.4,18.3,0.4,0.1,0.4,.076,-0.3,-0.6,-0.9,0.1,
Jett Howard,21,ORL,SF,27,0,282,8.2,.504,.770,.070,4.0,8.6,6.2,6.4,0.9,2.1,8.0,17.2,0.0,0.3,0.3,.055,-2.4,-0.5,-2.9,-0.1,
Gary Harris,30,ORL,SG,17,2,282,7.6,.551,.767,.100,3.6,6.0,4.7,3.5,1.6,1.7,10.1,10.7,0.1,0.4,0.4,.076,-2.8,0.6,-2.2,0.0,
Ja'Kobe Walter,20,TOR,SG,14,5,275,7.4,.432,.454,.139,5.5,12.5,8.9,11.1,1.6,1.1,10.2,19.3,-0.3,0.2,-0.1,-0.023,-5.1,-1.4,-6.5,-0.3,
Daniel Theis,32,NOP,C,19,7,270,10.5,.505,.311,.197,6.1,20.4,12.8,12.4,1.3,4.2,15.3,12.2,0.1,0.1,0.2,.037,-4.2,0.0,-4.2,-0.2,
Pat Connaughton,32,MIL,SG,16,0,269,8.7,.505,.634,.169,3.4,15.0,9.4,12.9,0.5,1.7,12.6,14.3,0.0,0.2,0.2,.038,-2.7,-1.0,-3.7,-0.1,
Kris Murray,24,POR,SF,21,0,267,11.3,.535,.413,.250,8.6,11.1,9.8,7.7,1.6,1.1,11.9,15.7,0.1,0.1,0.2,.037,-1.4,-1.0,-2.3,0.0,
Jordan Miller,25,LAC,SF,17,0,266,11.0,.511,.280,.220,7.1,7.7,7.4,11.2,1.1,1.2,12.0,20.2,0.0,0.3,0.3,.050,-2.2,-1.6,-3.7,-0.1,
Chet Holmgren,22,OKC,C,10,10,265,22.6,.619,.333,.441,6.4,28.1,17.3,11.1,1.5,10.1,14.8,25.1,0.4,0.8,1.1,.202,2.1,3.5,5.6,0.5,
Talen Horton-Tucker,24,CHI,SG,22,0,264,18.8,.636,.438,.313,4.5,13.0,8.8,17.9,1.0,1.6,8.6,22.0,0.7,0.1,0.8,.141,2.8,-1.3,1.5,0.2,
Marcus Sasser,24,DET,PG,19,0,260,16.5,.639,.457,.065,3.0,5.0,4.0,20.6,3.0,1.1,13.7,18.0,0.5,0.3,0.7,.134,0.5,0.8,1.4,0.2,
Monte Morris,29,PHO,PG,21,0,258,13.8,.557,.482,.271,2.6,10.2,6.5,19.1,1.7,1.1,9.5,18.0,0.3,0.1,0.5,.086,-0.3,-0.6,-0.8,0.1,
Malaki Branham,21,SAS,SG,20,0,251,10.2,.561,.430,.200,1.3,11.5,6.5,15.2,1.4,0.7,18.7,22.8,-0.2,0.2,0.0,-0.009,-2.5,-1.7,-4.2,-0.1,
Maxi Kleber,33,DAL,PF,15,2,251,2.3,.405,.333,.222,3.1,15.3,9.4,3.7,0.4,2.5,25.2,6.7,-0.2,0.2,0.0,-0.005,-6.5,-0.2,-6.8,-0.3,
Blake Wesley,21,SAS,SG,21,0,247,9.8,.523,.270,.284,2.6,5.6,4.2,23.9,1.8,0.7,20.9,18.2,-0.1,0.1,0.0,.008,-3.6,-1.2,-4.9,-0.2,
Pelle Larsson,23,MIA,SG,15,0,245,12.4,.627,.460,.317,4.4,8.9,6.7,13.2,1.8,0.0,10.0,14.2,0.4,0.2,0.6,.125,-2.7,0.4,-2.2,0.0,
Ricky Council IV,23,PHI,SF,20,0,243,13.8,.542,.378,.439,4.9,13.7,9.0,10.2,1.2,1.7,6.7,18.9,0.3,0.2,0.5,.101,-0.7,-1.1,-1.9,0.0,
Quenton Jackson,26,IND,PG,15,7,242,13.6,.600,.320,.227,4.8,8.0,6.4,16.2,1.8,1.9,11.8,16.8,0.4,0.1,0.5,.094,-1.6,-0.8,-2.4,0.0,
Malcolm Brogdon,32,WAS,PG,10,8,241,18.1,.617,.250,.365,4.3,13.0,8.6,19.7,1.0,1.1,11.7,23.5,0.5,0.0,0.5,.096,1.9,-1.2,0.6,0.2,
Dru Smith,27,MIA,SG,12,0,235,13.7,.666,.500,.154,4.6,9.7,7.2,13.3,3.6,2.5,20.1,12.9,0.2,0.4,0.6,.127,-0.9,3.3,2.4,0.3,
Jabari Walker,22,POR,SF,21,1,233,8.8,.459,.297,.203,8.5,22.5,15.2,7.8,1.7,1.2,15.7,14.7,-0.1,0.2,0.0,.009,-4.7,-1.1,-5.9,-0.2,
Jamal Cain,25,NOP,SF,16,0,225,11.8,.556,.509,.291,6.9,15.3,10.8,6.3,1.7,2.9,10.1,12.9,0.2,0.1,0.3,.058,-2.2,-0.3,-2.6,0.0,
Rayan Rupert,20,POR,SG,21,0,223,9.5,.527,.453,.188,8.0,8.7,8.3,7.1,1.5,0.8,14.8,15.1,0.0,0.0,0.1,.015,-2.2,-1.8,-4.0,-0.1,
Kristaps PorziÅÄ£is,29,BOS,C,8,8,220,23.1,.587,.443,.304,6.4,21.9,14.1,9.7,1.3,4.8,4.4,26.7,0.6,0.4,0.9,.201,3.1,0.3,3.3,0.3,
Kenrich Williams,30,OKC,PF,17,0,217,18.8,.692,.529,.118,6.4,16.9,11.7,11.6,2.2,1.9,5.3,14.9,0.7,0.5,1.2,.258,2.0,2.2,4.1,0.3,
Jared Butler,24,WAS,SG,19,0,212,15.0,.530,.263,.232,2.4,6.9,4.7,37.0,1.5,0.9,12.5,23.4,0.2,0.0,0.2,.041,0.2,-1.5,-1.3,0.0,
Trendon Watford,24,BRK,PF,13,0,209,12.1,.572,.329,.443,2.2,18.7,10.3,11.4,1.2,1.9,14.5,23.5,0.0,0.1,0.2,.037,-3.8,-0.8,-4.5,-0.1,
Joel Embiid,30,PHI,C,7,7,207,21.6,.551,.244,.429,6.3,23.2,14.3,28.8,1.0,4.0,14.5,35.1,0.2,0.2,0.4,.098,2.6,0.7,3.3,0.3,
Justin Champagnie,23,WAS,SF,8,5,207,17.8,.633,.415,.185,10.5,16.2,13.3,8.1,2.5,2.2,9.1,15.5,0.4,0.1,0.5,.122,1.2,0.4,1.6,0.2,
David Roddy,23,ATL,PF,14,1,204,12.8,.698,.500,.271,2.0,19.1,10.4,12.4,1.4,1.4,19.5,13.2,0.2,0.2,0.4,.093,-0.8,0.1,-0.7,0.1,
Josh Okogie,26,PHO,SG,15,1,203,18.4,.609,.333,.319,10.6,13.4,12.0,6.1,3.4,1.8,10.9,20.0,0.3,0.2,0.5,.127,1.8,0.4,2.3,0.2,
Larry Nance Jr.,32,ATL,PF,11,2,196,22.2,.785,.522,.060,6.9,14.4,10.6,12.2,2.4,2.0,5.5,15.0,0.7,0.2,0.9,.224,5.5,0.7,6.2,0.4,
Lonzo Ball,27,CHI,PG,11,0,195,12.8,.483,.847,.119,2.2,16.5,9.5,26.2,2.6,3.1,15.1,15.6,0.1,0.2,0.3,.075,-0.6,2.3,1.7,0.2,
Charles Bassey,24,SAS,C,18,0,194,19.0,.567,.000,.328,15.7,24.9,20.3,7.2,1.5,9.7,15.1,19.0,0.1,0.3,0.5,.121,-2.5,0.5,-2.0,0.0,
Keaton Wallace,25,ATL,PG,12,1,194,8.4,.493,.473,.073,1.1,8.9,4.9,14.7,2.4,3.0,17.5,14.3,-0.1,0.2,0.1,.013,-4.5,0.6,-3.8,-0.1,
Jaxson Hayes,24,LAL,C,11,1,192,17.0,.759,.000,.639,12.2,17.0,14.6,6.7,1.0,4.3,14.8,12.3,0.6,0.2,0.7,.183,-1.2,-0.2,-1.4,0.0,
Zion Williamson,24,NOP,PF,6,6,186,19.9,.521,.058,.577,8.8,19.7,14.0,30.6,1.0,3.5,14.4,34.5,0.0,0.1,0.1,.026,0.5,-1.7,-1.2,0.0,
Ousmane Dieng,21,OKC,PF,16,0,186,10.6,.439,.610,.186,5.2,18.6,11.9,8.9,2.8,2.2,5.9,15.6,0.0,0.4,0.4,.101,-3.5,1.8,-1.7,0.0,
Paolo Banchero,22,ORL,PF,5,5,182,25.4,.590,.330,.608,7.4,21.4,14.1,28.7,0.8,2.1,8.2,31.9,0.6,0.3,0.8,.224,5.8,0.8,6.6,0.4,
Sandro Mamukelashvili,25,SAS,PF,19,0,182,17.6,.714,.691,.273,7.2,25.3,16.3,5.8,0.8,2.5,12.7,16.6,0.4,0.2,0.6,.146,2.6,-0.5,2.0,0.2,
Doug McDermott,33,SAC,SF,21,3,182,10.2,.610,.846,.077,0.6,8.5,4.6,2.3,0.5,0.5,2.9,16.4,0.2,0.1,0.3,.076,-0.7,-2.8,-3.5,-0.1,
Johnny Davis,22,WAS,SG,19,0,182,13.3,.542,.316,.193,4.0,13.8,8.9,6.4,3.1,3.0,6.1,15.0,0.1,0.1,0.2,.060,-1.7,1.3,-0.4,0.1,
Alec Burks,33,MIA,SG,12,0,181,14.4,.636,.696,.174,2.4,11.4,6.9,12.5,1.6,1.6,3.9,12.4,0.4,0.2,0.6,.153,0.9,1.6,2.5,0.2,
Mo Bamba,26,LAC,C,13,0,177,13.7,.511,.462,.250,6.3,28.8,17.5,8.7,2.2,8.1,12.2,16.0,0.0,0.4,0.4,.120,-3.9,2.9,-1.0,0.0,
Dillon Jones,23,OKC,SF,21,0,177,8.0,.427,.600,.145,9.6,15.4,12.5,10.8,1.1,0.6,12.0,16.1,-0.1,0.3,0.2,.059,-4.1,-1.3,-5.4,-0.2,
Johnny Furphy,20,IND,SG,17,0,173,9.4,.550,.609,.152,7.4,8.5,8.0,5.2,1.9,2.7,15.5,14.6,0.0,0.1,0.1,.034,-1.9,-0.9,-2.8,0.0,
Wendell Moore Jr.,23,DET,SG,12,0,171,13.6,.630,.250,.333,5.9,17.9,11.9,11.2,2.3,1.7,16.2,12.3,0.2,0.2,0.4,.124,-1.7,1.6,-0.1,0.1,
Kevin Love,36,MIA,PF,15,4,169,18.1,.497,.583,.179,9.0,33.4,21.2,16.7,3.8,1.1,11.7,26.5,-0.1,0.4,0.3,.096,0.5,1.0,1.5,0.2,
John Konchar,28,MEM,SG,14,0,169,12.4,.684,.846,.154,7.7,16.0,12.0,9.6,2.2,3.3,20.1,8.2,0.2,0.3,0.5,.156,-0.1,2.5,2.4,0.2,
Jaylen Nowell,25,NOP,SG,8,0,168,7.9,.430,.370,.151,3.7,9.5,6.5,16.2,0.3,2.2,9.3,21.5,-0.2,0.0,-0.2,-0.066,-2.9,-2.8,-5.8,-0.2,
Aaron Holiday,28,HOU,PG,17,0,166,14.6,.663,.745,.216,0.0,11.5,5.7,17.9,0.6,0.5,8.2,15.1,0.5,0.2,0.7,.196,1.4,0.4,1.8,0.2,
Trey Jemison,25,NOP,C,16,0,166,9.7,.461,.000,.656,13.6,15.2,14.4,8.3,2.1,3.4,19.5,13.0,-0.1,0.1,0.0,.006,-5.7,-0.7,-6.4,-0.2,
Christian Koloko,24,LAL,C,17,0,166,9.6,.602,.083,.167,8.8,16.9,12.8,3.2,1.5,3.9,16.3,8.1,0.1,0.2,0.3,.083,-4.5,0.0,-4.5,-0.1,
Tyrese Martin,25,BRK,SG,11,2,165,15.3,.656,.745,.091,6.4,13.4,9.8,11.4,1.5,1.2,10.9,17.3,0.3,0.1,0.4,.111,2.3,-1.3,1.0,0.1,
Vit Krejci,24,ATL,PG,14,0,165,5.5,.384,.538,.231,4.4,11.8,8.0,14.9,2.0,2.3,17.3,12.7,-0.2,0.1,0.0,-0.012,-6.0,0.5,-5.5,-0.1,
Steven Adams,31,HOU,C,15,0,161,9.8,.562,.000,.960,14.8,19.1,16.9,12.3,1.2,1.1,36.0,14.3,-0.1,0.3,0.1,.044,-3.7,0.9,-2.8,0.0,
Jordan McLaughlin,28,SAC,PG,21,0,159,9.9,.521,.579,.368,2.2,11.2,6.7,15.0,2.7,0.0,15.3,14.1,0.0,0.2,0.2,.061,-3.7,0.2,-3.5,-0.1,
Craig Porter Jr.,24,CLE,PG,17,0,159,12.1,.663,.355,.161,0.7,9.5,5.2,17.7,1.5,3.5,21.3,11.4,0.2,0.2,0.4,.115,-0.7,1.3,0.6,0.1,
Robert Williams,27,POR,C,9,1,158,26.0,.786,.048,.310,11.2,23.1,16.9,12.2,2.4,7.8,14.4,14.6,0.6,0.2,0.8,.239,4.1,2.7,6.7,0.4,
Jock Landale,29,HOU,C,15,0,158,14.3,.497,.128,.404,13.1,18.1,15.6,12.3,0.9,3.4,11.2,16.3,0.1,0.3,0.4,.133,-1.4,0.6,-0.8,0.1,
Dwight Powell,33,DAL,C,21,0,158,13.7,.803,.000,2.400,8.5,14.4,11.6,9.7,2.1,4.6,19.6,6.8,0.4,0.2,0.6,.187,-1.1,2.9,1.7,0.1,
Hunter Tyson,24,DEN,PF,17,0,157,9.9,.636,.594,.406,5.8,15.4,10.8,7.0,0.9,1.7,17.5,12.2,0.2,0.1,0.3,.084,-3.0,-1.1,-4.1,-0.1,
Jordan Walsh,20,BOS,PF,19,1,157,4.5,.366,.774,.032,4.8,9.7,7.3,3.2,1.6,3.4,11.3,9.7,-0.2,0.2,0.0,.007,-5.1,0.4,-4.7,-0.1,
Paul Reed,25,DET,C,14,0,155,19.1,.639,.212,.327,8.6,15.5,12.1,8.9,3.8,4.9,15.6,19.4,0.2,0.3,0.5,.156,-0.5,2.6,2.0,0.2,
Tre Jones,25,SAS,PG,9,0,154,9.2,.432,.406,.438,3.5,9.7,6.7,23.7,1.6,1.2,11.6,12.0,0.1,0.1,0.2,.061,-4.0,0.4,-3.6,-0.1,
Isaac Jones,24,SAC,PF,17,0,153,13.0,.646,.087,.326,6.0,13.8,10.0,1.9,0.6,5.2,14.6,17.3,0.1,0.1,0.2,.075,-3.3,-0.8,-4.1,-0.1,
Kai Jones,24,LAC,C,19,0,152,14.1,.771,.000,.600,8.8,16.4,12.6,7.2,1.9,6.0,24.0,9.5,0.2,0.3,0.5,.165,-2.2,2.6,0.4,0.1,
Marvin Bagley III,25,WAS,C,18,1,151,20.0,.563,.147,.279,17.8,16.6,17.2,6.7,1.9,3.0,11.6,23.7,0.2,0.1,0.2,.075,1.0,-2.5,-1.5,0.0,
Taj Gibson,39,CHO,C,14,8,151,11.1,.505,.059,.176,14.6,18.2,16.3,6.7,2.0,2.0,19.7,12.8,0.0,0.1,0.2,.053,-4.0,-0.2,-4.2,-0.1,
Josh Richardson,31,MIA,SG,8,0,150,4.4,.402,.579,.105,4.3,4.3,4.3,10.7,2.6,0.6,16.8,13.9,-0.2,0.2,-0.1,-0.018,-7.2,0.2,-7.0,-0.2,
Anthony Gill,32,WAS,PF,20,0,149,9.8,.573,.353,.529,3.5,14.1,8.7,5.6,1.6,0.6,10.7,13.0,0.1,0.0,0.1,.031,-2.8,-0.9,-3.7,-0.1,
Xavier Tillman Sr.,26,BOS,C,17,1,147,3.1,.301,.552,.069,5.1,18.6,11.8,5.0,1.7,1.8,16.7,10.5,-0.3,0.2,-0.1,-0.022,-7.1,-0.2,-7.2,-0.2,
Elfrid Payton,30,NOP,PG,7,3,144,15.1,.501,.022,.043,3.6,15.1,9.0,50.9,3.4,2.0,29.9,19.6,-0.1,0.1,0.0,.006,-2.3,-0.1,-2.4,0.0,
Bruno Fernando,26,TOR,C,16,2,143,16.4,.563,.000,.167,15.8,22.4,19.1,18.4,1.4,6.1,21.4,19.0,0.1,0.2,0.3,.087,-2.1,1.9,-0.2,0.1,
Alex Len,31,SAC,C,21,2,142,12.8,.535,.167,.292,8.1,19.6,13.9,15.1,1.0,8.4,18.1,10.0,0.1,0.2,0.3,.111,-2.5,2.6,0.1,0.1,
Antonio Reeves,24,NOP,SG,15,0,140,11.2,.492,.508,.108,3.7,9.8,6.6,7.9,1.7,0.0,5.5,21.7,0.0,0.0,0.0,-0.001,-1.9,-2.6,-4.5,-0.1,
Patty Mills,36,UTA,PG,9,0,138,6.2,.495,.774,.097,0.8,5.6,3.2,12.9,2.1,1.4,19.8,12.3,-0.1,0.0,-0.1,-0.026,-4.2,0.1,-4.0,-0.1,
Bones Hyland,24,LAC,PG,12,0,137,18.8,.606,.712,.247,2.4,8.3,5.3,16.6,3.9,3.0,15.6,30.2,0.1,0.3,0.3,.122,3.6,1.5,5.1,0.2,
Ausar Thompson,22,DET,SF,8,3,136,12.2,.480,.276,.259,7.4,16.0,11.8,21.3,2.5,2.8,15.7,24.1,-0.1,0.2,0.1,.023,-4.3,0.5,-3.9,-0.1,
Aaron Nesmith,25,IND,SF,6,6,136,12.0,.659,.306,.361,3.4,16.7,10.2,6.0,1.4,1.4,10.7,14.9,0.2,0.1,0.3,.106,-2.1,-0.3,-2.4,0.0,
Dario Å ariÄ,30,DEN,C,10,3,136,5.3,.399,.475,.150,7.5,20.1,14.1,9.8,2.1,0.0,20.5,16.6,-0.3,0.1,-0.1,-0.044,-6.3,-0.8,-7.1,-0.2,
DeAndre Jordan,36,DEN,C,13,0,133,11.6,.542,.000,.308,11.9,29.3,20.9,12.2,1.4,3.4,27.1,12.8,0.0,0.2,0.2,.061,-3.5,0.6,-2.9,0.0,
Thomas Bryant,27,2TM,C,12,0,131,16.7,.634,.545,.333,6.8,25.0,15.9,5.4,0.4,7.4,5.0,13.3,0.3,0.2,0.5,.182,-0.3,0.7,0.5,0.1,
Thomas Bryant,27,MIA,C,10,0,115,15.9,.624,.607,.393,5.7,24.6,15.1,4.9,0.4,7.6,5.7,13.2,0.2,0.2,0.4,.175,-0.9,0.9,0.0,0.1,
Thomas Bryant,27,IND,C,2,0,16,22.4,.700,.200,.000,14.6,28.4,21.6,9.1,0.0,5.8,0.0,13.6,0.1,0.0,0.1,.230,4.2,-0.3,3.9,0.0,
Rob Dillingham,20,MIN,PG,14,0,126,9.5,.539,.412,.000,0.9,8.7,4.9,30.2,0.8,0.0,22.7,23.0,-0.1,0.1,0.0,.001,-1.8,-1.6,-3.5,0.0,
Kobe Bufkin,21,ATL,SG,10,0,124,10.6,.483,.404,.383,4.2,14.0,9.0,18.5,1.1,1.6,12.7,20.5,0.0,0.1,0.1,.022,-3.5,-0.7,-4.2,-0.1,
Reggie Jackson,34,PHI,PG,11,0,124,13.4,.561,.659,.000,0.9,7.9,4.2,27.4,2.4,2.5,14.6,17.0,0.1,0.1,0.2,.096,0.4,0.4,0.8,0.1,
De'Anthony Melton,26,GSW,SG,6,2,121,13.5,.539,.648,.148,5.0,12.3,8.5,20.7,2.8,1.6,14.8,23.2,0.0,0.2,0.2,.081,-1.4,0.5,-0.9,0.0,
Nick Smith Jr.,20,CHO,SG,13,0,121,6.4,.417,.542,.000,0.9,9.5,5.0,12.4,1.6,0.8,5.9,17.8,-0.1,0.1,0.0,-0.018,-5.0,-1.1,-6.0,-0.1,
Olivier-Maxence Prosper,22,DAL,PF,17,0,121,10.5,.435,.353,.265,10.2,15.4,12.9,7.2,1.2,1.5,2.6,13.6,0.1,0.1,0.2,.077,-1.4,-1.2,-2.6,0.0,
KJ Simpson,22,CHO,PG,9,0,120,7.5,.394,.500,.250,7.9,5.7,6.8,21.5,2.1,1.7,16.9,18.8,-0.1,0.1,-0.1,-0.028,-5.4,-0.9,-6.2,-0.1,
Precious Achiuwa,25,NYK,PF,6,1,120,14.3,.525,.143,.357,10.0,27.3,19.1,8.5,2.1,4.0,13.4,13.7,0.1,0.2,0.3,.113,-2.2,0.5,-1.7,0.0,
